Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards,Season,Season_Year
32.0,Brian Winters,24.0,MIL,SG,78.0,,34.8,8.4,16.8,0.498,2.6,3.1,0.847,0.8,2.1,3.0,4.3,1.5,0.4,2.9,19.3,,1976-77,1977
33.0,Truck Robinson,25.0,2TM,PF,77.0,,36.1,7.5,15.6,0.478,4.1,5.6,0.73,3.3,7.5,10.8,1.8,0.9,0.5,3.3,19.0,,1976-77,1977
34.0,Truck Robinson,25.0,WSB,PF,41.0,,32.4,6.4,13.5,0.478,3.1,4.6,0.677,2.9,6.0,8.9,1.1,0.7,0.4,3.0,16.0,,1976-77,1977
35.0,Truck Robinson,25.0,ATL,PF,36.0,,40.3,8.6,18.0,0.478,5.2,6.7,0.772,3.7,9.1,12.8,2.7,1.1,0.6,3.6,22.4,,1976-77,1977
36.0,Phil Smith,24.0,GSW,SG,82.0,82.0,35.1,7.7,16.1,0.479,3.6,4.6,0.785,1.2,2.8,4.0,4.0,1.2,0.4,2.8,19.0,AS,1976-77,1977
37.0,Artis Gilmore,27.0,CHI,C,82.0,82.0,35.1,7.0,13.3,0.522,4.7,7.1,0.66,3.8,9.2,13.0,2.4,0.5,2.5,3.2,18.6,MVP-10,1976-77,1977
38.0,Bill Walton,24.0,POR,C,65.0,,34.8,7.6,14.3,0.528,3.5,5.0,0.697,3.2,11.1,14.4,3.8,1.0,3.2,2.7,18.6,"MVP-2,AS,NBA2",1976-77,1977
39.0,Doug Collins,25.0,PHI,SG,58.0,47.0,35.1,7.3,14.2,0.518,3.6,4.3,0.84,1.1,2.3,3.4,4.7,1.2,0.3,3.0,18.3,AS,1976-77,1977
40.0,Charlie Scott,28.0,BOS,SG,43.0,,36.8,7.6,17.1,0.444,3.0,4.0,0.746,1.2,3.2,4.4,4.6,1.4,0.3,3.6,18.2,,1976-77,1977
41.0,Alvan Adams,22.0,PHO,C,72.0,,31.6,7.3,15.3,0.474,3.5,4.6,0.754,2.5,6.6,9.1,4.5,1.3,1.2,3.6,18.0,,1976-77,1977
42.0,Calvin Murphy,28.0,HOU,PG,82.0,,33.7,7.3,14.8,0.49,3.3,3.7,0.886,0.7,1.4,2.1,4.7,1.8,0.1,3.4,17.9,,1976-77,1977
43.0,John Havlicek,36.0,BOS,SF,79.0,,36.9,7.3,16.2,0.452,3.0,3.6,0.816,1.4,3.5,4.8,5.1,1.1,0.2,2.6,17.7,AS,1976-77,1977
44.0,Jamaal Wilkes,23.0,GSW,PF,76.0,,33.9,7.2,15.1,0.478,3.3,4.1,0.797,2.0,5.6,7.6,2.8,1.7,0.2,2.9,17.7,,1976-77,1977
45.0,Walt Frazier,31.0,NYK,PG,76.0,67.0,35.4,7.0,14.3,0.489,3.4,4.4,0.771,0.7,3.2,3.9,5.3,1.7,0.1,2.6,17.4,,1976-77,1977
46.0,Mickey Johnson,24.0,CHI,PF,81.0,81.0,35.1,6.6,14.9,0.446,4.0,5.0,0.796,3.7,6.6,10.2,2.4,1.3,0.8,3.9,17.3,,1976-77,1977
47.0,Fred Brown,28.0,SEA,SG,72.0,,29.1,7.4,15.5,0.479,2.3,2.6,0.884,0.9,2.3,3.2,2.4,1.7,0.3,1.9,17.2,,1976-77,1977
48.0,Brian Taylor,25.0,KCK,PG,72.0,,34.6,7.0,13.8,0.504,3.1,3.8,0.818,1.2,2.1,3.3,4.4,2.8,0.2,2.9,17.0,,1976-77,1977
49.0,Lou Hudson,32.0,ATL,SG,58.0,,30.1,7.1,15.6,0.456,2.4,2.9,0.84,0.8,1.4,2.2,2.7,1.2,0.3,2.8,16.7,,1976-77,1977
50.0,Spencer Haywood,27.0,NYK,PF,31.0,26.0,32.9,6.5,14.5,0.45,3.5,4.2,0.832,2.5,6.5,9.0,1.6,0.5,0.9,2.3,16.5,,1976-77,1977
51.0,Campy Russell,25.0,CLE,SF,70.0,,30.1,6.2,14.3,0.434,4.1,5.3,0.778,2.1,3.9,6.0,2.7,1.0,0.3,2.8,16.5,,1976-77,1977
52.0,Dave Cowens,28.0,BOS,C,50.0,,37.8,6.6,15.1,0.434,3.2,4.0,0.818,2.9,11.0,13.9,5.0,0.9,1.0,3.6,16.4,AS,1976-77,1977
53.0,Cazzie Russell,32.0,LAL,SF,82.0,82.0,31.5,7.0,14.4,0.49,2.3,2.7,0.858,1.0,2.5,3.6,2.6,1.0,0.1,2.0,16.4,,1976-77,1977
54.0,World B. Free,23.0,PHI,SG,78.0,37.0,28.9,6.0,13.1,0.457,4.3,5.9,0.72,1.2,1.8,3.0,3.4,1.0,0.3,2.7,16.3,,1976-77,1977
55.0,Austin Carr,28.0,CLE,SG,82.0,,29.4,6.8,14.9,0.457,2.6,3.3,0.795,1.5,1.5,2.9,2.7,0.7,0.1,2.7,16.2,,1976-77,1977
56.0,Billy Paultz,28.0,SAS,C,82.0,82.0,32.9,6.4,13.4,0.473,2.9,3.9,0.744,2.3,6.0,8.4,2.7,0.7,2.1,3.2,15.6,,1976-77,1977
57.0,Scott Wedman,24.0,KCK,SF,81.0,,33.9,6.4,14.0,0.46,2.5,3.0,0.855,2.3,3.9,6.2,2.8,1.2,0.3,2.8,15.4,,1976-77,1977
58.0,Bobby Jones,25.0,DEN,PF,82.0,82.0,29.5,6.1,10.7,0.57,2.9,4.0,0.717,2.1,6.1,8.3,3.2,2.3,2.0,2.9,15.1,AS,1976-77,1977
